date,users making trips,total trips,mean trips,median trips
2019-03-02,101770,1019234,8.838694012053939,7.0
2019-03-03,98828,938762,8.321251606612595,6.0
2019-03-04,87952,885752,8.90024115755627,7.0
2019-03-05,88584,1023005,10.542530607197328,9.0
2019-03-06,86788,991953,10.415298194036119,9.0
2019-03-07,87167,1048168,11.05452551203358,10.0
2019-03-08,93188,1046507,10.16845613455503,9.0
2019-03-09,95534,945393,8.708323354396565,7.0
2019-03-10,88150,802096,7.875267550319097,6.0
2019-03-11,78744,896996,10.445489903812563,9.0
2019-03-12,78044,915424,10.825349147972517,10.0
2019-03-13,78395,916289,10.774800094073377,9.0
2019-03-14,69524,697537,8.807396558037349,7.0
2019-03-15,85978,913444,9.524268301583826,8.0
2019-03-16,93379,934340,8.871692129475774,7.0
2019-03-17,89611,787347,7.585158139131607,6.0
2019-03-18,72219,447560,5.464112612777595,5.0
2019-03-19,78017,839690,9.812672369466648,8.0
2019-03-20,74488,792771,9.76619648906683,8.0
2019-03-21,75139,776275,9.426762034293485,8.0
2019-03-22,81215,873833,9.68225282822351,8.0
2019-03-23,57365,258263,3.39315228673157,2.0
2019-03-24,74522,528370,6.027492584987452,5.0
2019-03-25,71982,790729,10.039983239797861,9.0
2019-03-26,66094,494667,6.660746505803464,6.0
2019-03-27,67081,523484,6.984349775186455,6.0
2019-03-28,65126,459104,6.196571737076528,5.0
2019-03-29,75051,786162,9.389587588233187,8.0
2019-03-30,76554,707508,8.115485203028218,6.0
2019-03-31,72913,644505,7.500436406800963,5.0
2019-04-01,67041,765281,10.426313709996048,9.0
2019-04-02,66253,770407,10.669127117118364,9.0
2019-04-03,66302,777605,10.79692034267783,9.0
2019-04-04,67412,796295,10.899938402573403,10.0
2019-04-05,70351,782023,10.076057826109365,9.0
2019-04-06,73231,710750,8.51534139240658,7.0
2019-04-07,74850,685536,7.8841646444549225,6.0
2019-04-08,72384,814282,10.268114297243448,9.0
2019-04-09,72156,826938,10.509608052463017,9.0
2019-04-10,72141,830201,10.553223674175014,9.0
2019-04-11,72853,851605,10.751095176175026,9.0
2019-04-12,77947,867243,10.095490314769975,9.0
2019-04-13,77602,772164,8.686150107991361,7.0
2019-04-14,74948,678931,7.772179865833276,6.0
2019-04-15,75757,831147,9.973923582777324,8.0
2019-04-16,75169,824299,9.97445577860868,8.0
2019-04-17,77585,839571,9.77677760439714,8.0
2019-04-18,82023,824238,9.029578668302623,7.0
2019-04-19,79225,720464,7.9582021627950645,6.0
2019-04-20,80186,744190,8.111858383928668,6.0
2019-04-21,73088,638376,7.518797700932819,5.0
2019-04-22,64219,540360,7.103550723685076,5.0
2019-04-23,62108,685777,9.937932933368113,8.0
2019-04-24,60733,676072,10.013804544242676,8.0
2019-04-25,61002,680971,10.068471478842003,8.0
2019-04-26,64524,692531,9.61594856912759,8.0
2019-04-27,64535,646303,8.769018900180454,7.0
2019-04-28,64342,590424,8.081025963894174,6.0
2019-04-29,65613,746112,10.525668336037244,9.0
2019-04-30,65125,777356,11.0846582726119,10.0
2019-05-01,60448,593132,8.695165215351688,7.0
2019-05-02,64127,746215,10.789066566421837,9.0
2019-05-03,64885,743367,10.537785464184966,9.0
2019-05-04,61910,638005,9.242564719175999,7.0
2019-05-05,59306,547566,8.03731211836543,6.0
2019-05-06,60986,709882,10.756765766584842,9.0
2019-05-07,61223,730190,11.069690584115337,10.0
2019-05-08,62638,757921,11.21035660932716,10.0
2019-05-09,61221,726306,10.996971807528087,10.0
2019-05-10,61719,705850,10.532245068489063,9.0
2019-05-11,58488,599514,9.153863771700792,7.0
2019-05-12,57416,535501,8.105791353838702,6.0
2019-05-13,60921,712137,10.768580544676475,9.0
2019-05-14,60768,716800,10.931328443109207,10.0
2019-05-15,60907,725262,11.029426524932706,10.0
2019-05-16,61542,747496,11.179181933747103,10.0
2019-05-17,61816,719248,10.591662126143108,9.0
2019-05-18,57505,572439,8.67108472060227,7.0
2019-05-19,57048,507714,7.530725759800649,5.0
2019-05-20,61208,696739,10.351195958995692,9.0
2019-05-21,61215,696224,10.376225818951385,9.0
2019-05-22,61935,704859,10.375644007418966,9.0
2019-05-23,62257,727671,10.682036376447792,9.0
2019-05-24,63868,714124,10.13416209005634,9.0
2019-05-25,60053,598580,8.655628660255946,7.0
2019-05-26,58169,520387,7.602550804248419,5.0
2019-05-27,60710,649418,9.682112293884366,8.0
2019-05-28,62369,723095,10.592005038964082,9.0
2019-05-29,63325,720254,10.325778102733933,9.0
2019-05-30,68771,770149,9.927542957319824,8.0
2019-05-31,71460,792203,9.894251064733286,8.0
2019-06-01,66154,670533,8.839667787225627,7.0
2019-06-02,62499,555649,7.536471896701389,5.0
2019-06-03,62338,699543,10.186431546145558,9.0
2019-06-04,63203,744474,10.77994816177003,9.0
2019-06-05,63191,732434,10.563850347592812,9.0
2019-06-06,62838,715598,10.333694349376886,9.0
2019-06-12,64183,750625,10.690379548529517,9.0
2019-06-13,64535,750282,10.610691557064065,9.0
2019-06-14,68052,754096,10.042294785063655,9.0
2019-06-15,66513,674160,8.854448501405344,7.0
2019-06-16,64036,581435,7.7669650013358265,6.0
2019-06-17,64295,730882,10.349504389691306,9.0
2019-06-18,63965,719394,10.307685694635488,9.0
2019-06-19,63850,747890,10.695296523517383,9.0
2019-06-20,63656,730302,10.466678132255568,9.0
2019-06-21,65679,726152,10.035961578329072,9.0
2019-06-22,66339,648046,8.56535243659049,7.0
2019-06-23,66021,642708,8.482130602333315,7.0
2019-06-24,66866,655723,8.646706665787566,7.0
2019-06-25,65037,747637,10.491678360931799,9.0
2019-06-26,65297,757355,10.608698697296541,9.0
2019-06-27,65062,751376,10.514049031680287,9.0
2019-06-28,68039,751356,9.976842384809455,8.0
2019-06-29,66818,658930,8.58451236353214,7.0
2019-06-30,65861,581328,7.504589287789009,5.0
